GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelH2.DbTypeResolverH2,10,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,EmptyDbModel,23,0,0,0,14,0,13,0,13,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelMariadb.DbTypeResolverMariadDb,10,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelMariadb,236,0,10,0,62,0,12,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelFactory,66,0,8,0,16,0,9,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DbTypeResolverPostgreSQL,6,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelH2.DBType,259,0,17,0,32,0,19,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql.DBType,229,0,15,0,29,0,17,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelAbstract.DbTypeResolver,11,0,0,0,5,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DBType,229,0,15,0,30,0,17,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql,153,0,6,0,46,0,10,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DBType,229,0,15,0,29,0,17,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelH2,273,0,12,0,74,0,17,0,11,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbType,96,0,10,0,13,0,7,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelMysql,258,0,8,0,65,0,12,0,8,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DbTypeResolverOracle,6,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelAbstract,346,0,36,0,125,0,31,0,13,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql,158,0,4,0,45,0,8,0,6,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelOracle,367,0,12,0,100,0,18,0,12,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.model,DbModelMysql.DbTypeResolverMySQL,10,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,Base64.InnerInputStream,248,0,46,0,59,0,27,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,Base64.InnerOutputStream,258,0,30,0,58,0,23,0,8,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,DetectionUtils,94,0,6,0,41,0,13,0,10,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownConfiguration,6,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownTimerTask,50,0,8,0,17,0,7,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom,48,0,2,0,10,0,6,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil.Platform,54,0,0,0,6,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,WaarpNettyUtil,172,0,12,0,44,0,11,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,SingletonUtils.VoidOutputStream,5,0,0,0,5,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,FileConvert,426,0,58,0,107,0,36,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,StringUtils,111,0,12,0,29,0,10,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,WaarpStringUtils,352,0,30,0,91,0,27,0,12,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,Hexa,246,0,10,0,28,0,12,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,SingletonUtils,26,0,0,0,9,0,7,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,Version,44,0,0,0,14,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,ParametersChecker,350,0,60,0,63,0,40,0,10,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook,577,0,66,0,171,0,52,0,19,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,Base64,5352,0,132,0,297,0,95,0,28,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,SingletonUtils.NullInputStream,15,0,0,0,9,0,9,0,9,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil,898,0,98,0,219,0,77,0,28,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,Base64.new ObjectInputStream() {...},22,0,2,0,6,0,3,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,WaarpThreadFactory,67,0,0,0,13,0,3,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.utility,BaseXx,136,0,0,0,26,0,11,0,11,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlHash,204,0,22,0,44,0,26,0,15,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlType,380,0,75,0,42,0,60,0,17,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlStaticShared,28,0,0,0,8,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlValue,1654,0,207,0,325,0,156,0,34,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlUtil,1159,0,146,0,312,0,105,0,32,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlRootHash,26,0,2,0,4,0,2,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.xml,XmlDecl,226,0,30,0,59,0,30,0,15,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,Des,11,0,0,0,5,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,HmacSha256,111,0,2,0,30,0,11,0,10,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,KeyManager,227,0,18,0,61,0,16,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,DynamicKeyManager,323,0,20,0,91,0,17,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,DesManager,12,0,0,0,3,0,3,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject.INSTANCES,89,0,0,0,10,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,HmacSha256Manager,14,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,BlowfishManager,14,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject,63,0,0,0,22,0,7,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,AesManager,14,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,Aes,11,0,0,0,5,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,KeyObject,349,0,18,0,99,0,34,0,25,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject.INSTANCESMAX,89,0,0,0,10,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,Blowfish,11,0,0,0,5,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,HmacSha1Manager,14,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto,HmacSha1,37,0,0,0,11,0,9,0,9,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpJdkLoggerFactory,76,0,15,0,28,0,13,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLoggerFactory,139,0,23,0,45,0,19,0,6,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpJdkLogger,531,0,64,0,125,0,66,0,34,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLogger,433,0,40,0,78,0,51,0,31,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,FormattingTuple,66,0,6,0,19,0,10,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpLogLevel,54,0,0,0,6,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpLoggerFactory,104,0,12,0,42,0,18,0,12,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,SysErrLogger,62,0,0,0,18,0,9,0,9,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLoggerFactory.new OutputStream() {...},16,0,0,0,3,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,MessageFormatter,706,0,90,0,157,0,62,0,17,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.logging,AbstractWaarpLogger,376,0,50,0,125,0,60,0,24,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,SmileJsonHandler.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,SmileJsonHandler,89,0,6,0,32,0,10,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,AdaptativeJsonHandler,460,0,44,0,128,0,61,0,39,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,AdaptativeJsonHandler.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,AdaptativeJsonHandler.JsonCodec,128,0,4,0,21,0,6,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,JsonHandler,410,0,36,0,120,0,59,0,41,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.json,JsonHandler.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.future,WaarpCompletedFuture,33,0,6,0,11,0,13,0,10,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.future,WaarpFuture,322,0,58,0,97,0,47,0,18,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.future,WaarpSucceededFuture,9,0,0,0,4,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.future,WaarpLock,26,0,0,0,14,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.future,WaarpFailedFuture,40,0,6,0,12,0,7,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.future,WaarpChannelFuture,14,0,0,0,7,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.exception,CryptoException,9,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.exception,FileTransferException,9,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.exception,IllegalFiniteStateException,16,0,0,0,8,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.exception,FileEndOfTransferException,9,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.exception,InvalidArgumentException,9,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.exception,NoRestartException,9,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.role,RoleDefault.ROLE,461,0,36,0,71,0,38,0,10,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.role,RoleDefault,142,0,4,0,35,0,29,0,27,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,Restart,19,0,0,0,8,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,AbstractFile,76,0,6,0,26,0,10,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,DataBlockSizeEstimator.HandleImpl,29,0,8,0,9,0,5,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,DataBlockSizeEstimator,12,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,FileUtils,831,0,178,0,273,0,114,0,25,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,DataBlock,364,0,30,0,81,0,40,0,25,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file,AbstractDir,573,0,70,0,127,0,55,0,20,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseException,16,0,0,0,8,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseNoConnectionException,16,0,0,0,8,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseSqlException,16,0,0,0,8,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseNoDataException,16,0,0,0,8,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.guid,JvmProcessId,525,0,78,0,154,0,52,0,13,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.guid,IntegerUuid,277,0,12,0,49,0,17,0,11,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.guid,JvmProcessId.new PrivilegedAction() {...},5,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.guid,GUID,1003,0,62,0,181,0,58,0,27,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.guid,LongUuid,423,0,12,0,63,0,18,0,12,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.transcode,CharsetsUtil,387,0,44,0,107,0,27,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command,NextCommandReply,12,0,0,0,5,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command,ReplyCode,801,0,58,0,132,0,60,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbConnectionPool.Con,32,0,4,0,11,0,5,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbConnectionPool,390,0,54,0,119,0,44,0,17,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbConnectionPool.TimeoutException,4,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbAdmin,431,0,32,0,122,0,41,0,25,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbSession,939,0,76,0,271,0,72,0,34,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbConnectionPool.PoolConnectionEventListener,30,0,0,0,9,0,3,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbConnectionPool.TimerTaskCheckConnections,84,0,12,0,25,0,8,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbConstant,3,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbSession.TryDisconnectDbSession,27,0,2,0,8,0,3,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbPreparedStatement,697,0,52,0,186,0,42,0,16,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,DbRequest,379,0,30,0,98,0,26,0,11,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database,ConnectionFactory,297,0,18,0,80,0,23,0,14,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply451Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,CommandAbstractException,47,0,2,0,10,0,5,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply503Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply501Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply425Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply552Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply534Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply426Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply502Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply450Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply530Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply553Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply522Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply550Exception,11,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply504Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply452Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply500Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.command.exception,Reply421Exception,5,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSecureKeyStore,688,0,8,0,224,0,25,0,21,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility.3.new GenericFutureListener() {...},34,0,4,0,7,0,4,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility.new ChannelFutureListener() {...},17,0,2,0,5,0,3,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility.new GenericFutureListener() {...},40,0,0,0,5,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility.new GenericFutureListener() {...},35,0,2,0,7,0,3,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility.new GenericFutureListener() {...},43,0,4,0,7,0,4,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility.SSLTHREAD,25,0,0,0,7,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslUtility,312,0,32,0,79,0,25,0,9,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpX509TrustManager,73,0,10,0,22,0,11,0,6,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslContextFactory,285,0,24,0,98,0,22,0,10,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSecureTrustManagerFactory,63,0,0,0,18,0,8,0,8,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.crypto.ssl,WaarpSslHandler,34,0,0,0,10,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,ConcurrentUtility,2,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,SoftReferenceCacheEntry,52,0,6,0,13,0,7,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,AbstractLruCache,129,0,18,0,37,0,22,0,13,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,StrongReferenceCacheEntry,46,0,6,0,12,0,7,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,SoftReferenceSynchronizedLruCache,24,0,0,0,7,0,4,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,CapacityLruLinkedHashMap,28,0,4,0,7,0,5,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,SimpleLRUCache,26,0,2,0,5,0,4,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.lru,SynchronizedLruCache,102,0,6,0,32,0,15,0,12,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.data,AbstractDbData.UpdatedInfo,74,0,0,0,8,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.data,DbDataModel.Columns,74,0,0,0,3,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.data,DbValue,722,0,43,0,248,0,87,0,49,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.data,AbstractDbData,1075,0,118,0,281,0,98,0,18,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.data,DbDataModel,841,0,28,0,155,0,33,0,19,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.data,AbstractDbDataWithCommit,186,0,16,0,53,0,12,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased,FilesystemBasedAuthImpl,133,0,10,0,40,0,18,0,13,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased,FilesystemBasedDirImpl,1590,0,166,0,361,0,114,0,31,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased,FilesystemBasedOptsMLSxImpl,336,0,36,0,98,0,39,0,21,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased,FilesystemBasedFileParameterImpl,3,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased,FilesystemBasedRestartImpl,59,0,8,0,20,0,8,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased,FilesystemBasedFileImpl,1071,0,128,0,327,0,96,0,32,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased.specific,FilesystemBasedDirJdkAbstract,6,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased.specific,FilesystemBasedDirJdk5,13,0,2,0,5,0,4,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased.specific,FilesystemBasedDirJdk6,12,0,0,0,5,0,3,0,3,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.file.filesystembased.specific,FilesystemBasedCommonsIo,13,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.cpu,WaarpConstraintLimitHandler.CurLimits,9,0,0,0,4,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.cpu,CpuManagementSysmon,67,0,4,0,19,0,4,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.cpu,WaarpConstraintLimitHandler,862,0,106,0,186,0,70,0,17,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.cpu,CpuManagement,24,0,2,0,7,0,3,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.cpu,CpuManagementNoInfo,5,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.properties,H2Properties,11,0,0,0,6,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.properties,MariaDBProperties,46,0,6,0,20,0,8,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.properties,PostgreSQLProperties,46,0,6,0,20,0,8,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.properties,OracleProperties,46,0,6,0,20,0,8,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.database.properties,MySQLProperties,46,0,6,0,20,0,8,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.tar,ZipUtility,405,0,38,0,111,0,27,0,8,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.tar,TarUtility,411,0,38,0,113,0,27,0,8,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.state,MachineState,142,0,8,0,31,0,16,0,12,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.state,Transition,23,0,0,0,10,0,5,0,5,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.service,ServiceLauncher,242,0,34,0,93,0,31,0,14,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.service,EngineAbstract,3,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.FileMonitorTimerInformationTask,108,0,8,0,25,0,6,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,RegexFileFilter,71,0,14,0,17,0,11,0,4,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.Status,54,0,0,0,2,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.FileItem,183,0,24,0,26,0,19,0,7,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.FileMonitorTimerTask,77,0,4,0,23,0,4,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.new FileFilter() {...},9,0,0,0,2,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.new FileMonitorCommandRunnableFuture() {...},7,0,0,0,3,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.new FileMonitorCommandRunnableFuture() {...},16,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.new FileMonitorCommandRunnableFuture() {...},20,0,0,0,5,0,2,0,2,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitorCommandRunnableFuture,198,0,36,0,49,0,32,0,14,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor,1564,0,194,0,396,0,134,0,35,0
Waarp Gateway Ftp/WaarpCommon,org.waarp.common.filemonitor,FileMonitor.FileMonitorInformation,42,0,0,0,16,0,2,0,2,0
Waarp Gateway Ftp/WaarpR66,org.waarp.openr66.dao.exception,DAOConnectionException,13,0,0,0,6,0,3,0,3,0
